recno,ObsDate,JD,Phase,Umag,e_Umag,Bmag,e_Bmag,Vmag,e_Vmag,Rmag,e_Rmag,Imag,e_Imag,Inst
1,2454330.0,2454330.57,-6.4,13.549,0.023,13.987,0.023,13.695,0.024,13.519,0.024,13.43,0.024,1
2,2454330.0,2454330.7,-6.3,13.602,0.025,13.821,0.057,13.588,0.037,13.535,0.041,13.51,0.057,2
3,2454332.0,2454332.68,-4.3,13.326,0.024,13.672,0.02,13.185,0.03,13.214,0.027,13.063,0.029,3
4,2454332.0,2454332.7,-4.3,13.348,0.023,13.653,0.023,13.214,0.024,13.278,0.041,13.083,0.057,2
5,2454333.0,2454333.73,-3.3,13.258,0.023,13.549,0.022,13.086,0.023,13.045,0.025,,,3
6,2454334.0,2454334.63,-2.4,13.291,0.025,13.481,0.025,13.046,0.024,12.887,0.023,12.858,0.024,4
7,2454334.0,2454334.7,-2.3,,,13.509,0.023,13.0,0.033,12.969,0.026,,,3
8,2454335.0,2454335.74,-1.3,13.345,0.025,13.512,0.037,12.981,0.028,12.919,0.054,12.839,0.069,3
9,2454336.0,2454336.51,-0.5,13.34,0.026,13.511,0.021,12.947,0.02,12.837,0.02,12.731,0.02,4
10,2454336.0,2454336.6,-0.4,,,13.438,0.025,12.96,0.025,12.834,0.026,12.674,0.026,5
11,2454338.0,2454338.53,1.5,,,13.495,0.025,12.882,0.023,12.732,0.024,12.717,0.023,4
12,2454338.0,2454338.6,1.6,,,13.468,0.026,12.904,0.026,12.77,0.032,12.645,0.026,5
13,2454338.0,2454339.43,2.4,,,13.58,0.03,12.916,0.027,12.81,0.045,,,6
14,2454339.0,2454339.6,2.6,,,13.531,0.021,12.908,0.02,12.741,0.032,12.62,0.022,5
15,2454341.0,2454342.37,5.4,14.182,0.03,13.73,0.022,13.049,0.03,12.787,0.024,12.611,0.04,6
16,2454342.0,2454342.52,5.5,,,,,13.07,0.1,12.78,0.06,12.608,0.03,4
17,2454343.0,2454344.28,7.3,,,13.939,0.1,13.163,0.1,12.832,0.1,12.65,0.1,6
18,2454346.0,2454347.27,10.3,14.89,0.15,14.2,0.15,13.265,0.15,12.897,0.15,12.736,0.15,6
19,2454349.0,2454350.49,13.5,,,14.58,0.022,13.579,0.023,13.097,0.023,12.766,0.022,1
20,2454350.0,2454350.67,13.7,15.28,0.026,14.443,0.044,13.516,0.028,13.154,0.055,12.827,0.031,3
21,2454353.0,2454353.67,16.7,15.613,0.03,14.97,0.023,13.881,0.026,13.348,0.03,12.932,0.033,3
22,2454354.0,2454355.34,18.3,15.918,0.026,15.122,0.1,13.974,0.1,13.551,0.05,13.008,0.05,6
23,2454356.0,2454356.6,19.6,,,15.248,0.028,14.088,0.025,13.528,0.023,13.111,0.025,5
24,2454357.0,2454357.52,20.5,,,15.261,0.026,14.078,0.021,13.535,0.022,13.118,0.023,7
25,2454357.0,2454357.55,20.6,,,15.25,0.024,14.098,0.023,13.589,0.025,13.219,0.023,1
26,2454357.0,2454357.6,20.6,,,15.393,0.028,14.156,0.02,13.608,0.026,13.207,0.026,5
27,2454358.0,2454358.53,21.5,16.198,0.054,15.365,0.032,14.184,0.023,13.592,0.024,13.185,0.022,4
28,2454358.0,2454358.57,21.6,16.125,0.024,15.423,0.024,14.202,0.023,13.624,0.023,13.231,0.024,3
29,2454359.0,2454359.55,22.6,,,,,,,13.71,0.02,13.281,0.021,5
30,2454359.0,2454360.45,23.5,16.275,0.041,15.427,0.032,14.309,0.027,13.743,0.028,13.252,0.024,4
31,2454360.0,2454360.64,23.6,,,15.531,0.015,14.325,0.017,13.752,0.023,13.299,0.006,5
32,2454361.0,2454362.44,25.4,16.413,0.045,15.645,0.03,14.38,0.025,13.856,0.023,13.405,0.027,4
33,2454363.0,2454363.6,26.6,,,15.654,0.021,14.53,0.015,13.959,0.02,13.456,0.021,5
34,2454363.0,2454364.45,27.5,16.456,0.051,15.737,0.032,14.545,0.03,13.969,0.024,13.468,0.023,4
35,2454364.0,2454364.5,27.5,,,15.71,0.021,14.567,0.014,14.004,0.021,13.48,0.028,5
36,2454365.0,2454365.64,28.6,16.258,0.023,15.818,0.023,14.567,0.023,14.055,0.023,13.511,0.023,3
37,2454368.0,2454368.56,31.6,16.346,0.08,15.791,0.035,14.71,0.03,14.138,0.028,13.594,0.025,4
38,2454369.0,2454370.43,33.4,16.467,0.1,15.793,0.031,14.788,0.027,14.2,0.025,13.654,0.021,4
39,2454371.0,2454371.57,34.6,16.417,0.024,15.81,0.024,14.859,0.024,14.324,0.03,13.686,0.033,3
40,2454373.0,2454373.6,36.6,16.337,0.032,15.916,0.025,14.875,0.021,14.266,0.023,13.787,0.025,3
41,2454375.0,2454375.53,38.5,,,15.91,0.025,14.906,0.021,14.367,0.02,13.818,0.032,5
42,2454381.0,2454381.51,44.5,,,15.952,0.026,15.001,0.028,14.499,0.037,13.888,0.031,5
43,2454382.0,2454382.6,45.6,,,15.92,0.024,15.055,0.026,14.493,0.026,13.937,0.023,1
44,2454382.0,2454382.56,45.6,,,15.972,0.038,15.01,0.018,14.565,0.024,13.951,0.023,5
45,2454383.0,2454383.57,46.6,,,16.001,0.025,15.021,0.025,14.544,0.021,13.922,0.022,5
46,2454384.0,2454384.57,47.6,,,15.976,0.023,15.054,0.018,14.562,0.02,13.929,0.029,5
47,2454385.0,2454385.63,48.6,,,16.025,0.026,15.053,0.021,14.57,0.02,13.928,0.02,5
48,2454389.0,2454389.55,52.6,,,16.021,0.022,15.163,0.018,14.621,0.038,13.984,0.028,5
49,2454389.0,2454390.4,53.4,16.542,0.04,16.052,0.03,15.12,0.025,14.66,0.028,14.045,0.02,4
50,2454392.0,2454392.6,55.6,,,15.984,0.028,15.162,0.025,14.68,0.022,14.06,0.02,1
51,2454394.0,2454394.52,57.5,16.571,0.038,16.058,0.032,15.201,0.026,14.743,0.023,14.127,0.025,4
52,2454396.0,2454396.52,59.5,,,16.073,0.023,15.235,0.024,14.772,0.021,14.133,0.022,4
53,2454397.0,2454398.48,61.5,16.591,0.037,16.142,0.029,15.267,0.022,14.853,0.024,14.168,0.025,4
54,2454402.0,2454402.58,65.6,16.69,0.043,16.168,0.031,15.319,0.025,14.906,0.024,14.216,0.023,4
55,2454403.0,2454403.58,66.6,,,16.175,0.029,15.352,0.021,14.905,0.02,14.238,0.02,5
56,2454406.0,2454406.7,69.7,16.662,0.042,16.209,0.026,15.379,0.024,14.973,0.025,14.241,0.021,4
57,2454410.0,2454410.7,73.7,16.74,0.036,16.295,0.025,15.458,0.021,15.046,0.023,14.351,0.023,4
58,2454417.0,2454417.58,80.6,,,16.295,0.031,15.6,0.022,15.133,0.023,14.518,0.025,1
59,2454418.0,2454418.56,81.6,16.811,0.051,16.378,0.041,15.579,0.03,15.177,0.027,14.48,0.032,4
60,2454425.0,2454425.63,88.6,,,16.472,0.02,,,15.215,0.02,,,5
61,2454431.0,2454432.44,95.4,17.027,0.045,16.581,0.037,15.824,0.022,15.388,0.026,14.724,0.028,4
62,2454438.0,2454439.51,102.5,,,16.607,0.04,15.923,0.031,15.427,0.025,14.825,0.023,1
63,2454439.0,2454440.45,103.5,,,16.665,0.035,15.938,0.025,15.442,0.023,14.922,0.024,1
64,2454440.0,2454440.53,103.5,17.094,0.04,16.657,0.032,15.935,0.023,15.506,0.021,14.859,0.023,4
65,2454444.0,2454444.51,107.5,,,16.745,0.028,16.039,0.026,15.519,0.021,15.0,0.021,5
66,2454444.0,2454444.54,107.5,17.203,0.06,16.761,0.032,16.028,0.022,15.57,0.022,15.004,0.025,4
67,2454450.0,2454450.62,113.6,17.188,0.07,16.83,0.04,16.122,0.03,15.626,0.027,15.058,0.028,2
68,2454459.0,2454460.49,123.5,,,16.97,0.023,16.326,0.023,15.709,0.026,15.206,0.026,5
69,2454462.0,2454463.31,126.3,,,17.03,0.029,,,15.781,0.026,15.278,0.026,5
70,2454462.0,2454463.39,126.4,17.327,0.06,17.022,0.047,16.346,0.025,15.781,0.027,15.226,0.024,1
71,2454468.0,2454468.5,131.5,,,17.077,0.031,16.476,0.024,15.803,0.021,15.343,0.021,5
72,2454471.0,2454472.4,135.4,,,17.18,0.045,16.495,0.031,15.935,0.025,15.442,0.025,1
73,2454474.0,2454474.51,137.5,,,17.238,0.037,16.568,0.024,15.922,0.022,15.419,0.02,5
