# t_days L_bol L_bol_err
3.700000e+00 1.941247e+43 3.993393e+42
4.475000e+00 5.071068e+42 7.588313e+40
5.480000e+00 2.833765e+42 3.684301e+40
6.400000e+00 1.847470e+42 1.305966e+40
7.700000e+00 1.350629e+42 5.025710e+39
8.495000e+00 1.091463e+42 4.791352e+39
9.515000e+00 9.999994e+41 4.492496e+39
1.070000e+01 1.032568e+42 3.836808e+39
1.170000e+01 1.128637e+42 3.594766e+39
1.270000e+01 1.227909e+42 4.141967e+39
1.348000e+01 1.318777e+42 8.564383e+39
1.470000e+01 1.456171e+42 3.886139e+39
1.570000e+01 1.595077e+42 3.877278e+39
1.670000e+01 1.818527e+42 1.198914e+40
1.770000e+01 1.928299e+42 6.644080e+39
1.870000e+01 2.062425e+42 7.551246e+39
2.070000e+01 2.364030e+42 9.418507e+39
2.170000e+01 2.358162e+42 1.058054e+40
2.270000e+01 2.323690e+42 1.239840e+40
2.370000e+01 2.270323e+42 1.403351e+40
2.470000e+01 2.151696e+42 1.165160e+40
2.670000e+01 1.972639e+42 6.859205e+39
2.772500e+01 1.827300e+42 1.015132e+40
2.841000e+01 1.722213e+42 1.371995e+40
2.939000e+01 1.567888e+42 7.648847e+39
3.041000e+01 1.551723e+42 1.098054e+40
3.177500e+01 1.602522e+42 9.135409e+39
3.270000e+01 1.421200e+42 6.605374e+39
3.370000e+01 1.351697e+42 5.615222e+39
3.460000e+01 1.354175e+42 9.539509e+39
3.570000e+01 1.318949e+42 6.305941e+39
3.670000e+01 1.305713e+42 1.475187e+40
3.770000e+01 1.165045e+42 6.629382e+39
3.880000e+01 1.113347e+42 1.047245e+40
3.970000e+01 1.112236e+42 1.142449e+40
4.039000e+01 1.075735e+42 1.095820e+40
4.170000e+01 1.015628e+42 1.039069e+40
4.270000e+01 9.142006e+41 1.057396e+40
4.375000e+01 9.887903e+41 6.778284e+39
4.480000e+01 9.367752e+41 8.941964e+39
4.570000e+01 8.651482e+41 4.982037e+39
4.880000e+01 7.972316e+41 6.079904e+39
4.980000e+01 8.546537e+41 3.716904e+39
5.070000e+01 8.183519e+41 5.428447e+39
5.180000e+01 7.713278e+41 7.628330e+39
5.370000e+01 7.214782e+41 5.069167e+39
5.580000e+01 6.854756e+41 4.366308e+39
5.680000e+01 6.787019e+41 4.501647e+39
5.780000e+01 6.967632e+41 3.385341e+39
5.941000e+01 6.912045e+41 7.356571e+39
6.038000e+01 6.736205e+41 5.818899e+39
6.270000e+01 6.084515e+41 5.940642e+39
6.380000e+01 5.927888e+41 4.637355e+39
6.880000e+01 5.545895e+41 2.753385e+39
7.370000e+01 5.104917e+41 3.807154e+39
7.475000e+01 4.948647e+41 2.708106e+39
7.680000e+01 4.764800e+41 3.729017e+39
7.770000e+01 4.742509e+41 4.942406e+39
7.870000e+01 4.625504e+41 4.159620e+39
7.980000e+01 4.534169e+41 4.841100e+39
8.180000e+01 4.326953e+41 4.734453e+39
8.380000e+01 4.270866e+41 3.298797e+39
8.480000e+01 4.117285e+41 3.128341e+39
8.580000e+01 3.920105e+41 3.182093e+39
8.670000e+01 4.095399e+41 2.900587e+39
8.780000e+01 3.847596e+41 3.370570e+39
8.870000e+01 3.826193e+41 3.702885e+39
8.970000e+01 3.750644e+41 3.524155e+39
9.070000e+01 3.566154e+41 3.292052e+39
9.170000e+01 3.511575e+41 2.040616e+39
9.270000e+01 3.479808e+41 2.226209e+39
9.370000e+01 3.460390e+41 3.669661e+39
9.470000e+01 3.275925e+41 1.905965e+39
9.570000e+01 3.369845e+41 2.449948e+39
9.670000e+01 3.220245e+41 1.838863e+39
9.770000e+01 3.284914e+41 2.215299e+39
9.870000e+01 3.093479e+41 1.965782e+39
9.970000e+01 3.141017e+41 2.338842e+39
1.007000e+02 3.027781e+41 1.942381e+39
1.017000e+02 2.951164e+41 1.792588e+39
1.067000e+02 2.689966e+41 1.494670e+39
1.077100e+02 2.596176e+41 1.489688e+39
1.087000e+02 2.740157e+41 2.336094e+39
1.097000e+02 2.479409e+41 1.889280e+39
1.107000e+02 2.466624e+41 2.291549e+39
1.117000e+02 2.387237e+41 1.908626e+39
1.127000e+02 2.353774e+41 1.470416e+39
1.137000e+02 2.316656e+41 1.678714e+39
1.157000e+02 2.149866e+41 1.699881e+39
